id,landmark,lat,lon,station_name
2,15541,41.876393,-87.620328,Buckingham Fountain
3,15544,41.86722595682,-87.6153553902,Shedd Aquarium
4,15545,41.856268,-87.613348,Burnham Harbor
5,13030,41.874053,-87.627716,State St & Harrison St
6,15548,41.885041,-87.612794,Dusable Harbor
7,15534,41.88634906269,-87.6175165471,Field Blvd & South Water St
9,15695,41.82879201994,-87.6806044594,Leavitt St & Archer Ave
11,15496,41.76663823695,-87.5764501141,Jeffery Blvd & 71st St
12,15497,41.7664094567,-87.5656875719,South Shore Dr & 71st St
13,13066,41.932418,-87.652705,Wilton Ave & Diversey Pkwy
14,13163,41.858086,-87.651073,Morgan St & 18th St
15,13164,41.858166,-87.656495,Racine Ave & 18th St
16,13223,41.910337,-87.670072,Paulina Ave & North Ave
17,13246,41.903119,-87.673935,Honore St & Division St
18,15536,41.883132,-87.637321,Wacker Dr & Washington St
19,13139,41.869417,-87.660996,Loomis St & Taylor St (*)
20,13154,41.910522,-87.653106,Sheffield Ave & Kingsbury St
21,13157,41.87772613,-87.65478743,Aberdeen St & Jackson Blvd
22,13160,41.8694821,-87.6554864,May St & Taylor St
23,13172,41.902924,-87.637715,Orleans St & Elm St (*)
24,13262,41.89186,-87.62062,Fairbanks Ct & Grand Ave
25,13034,41.89766,-87.62351,Michigan Ave & Pearson St
26,13051,41.890359,-87.617532,McClurg Ct & Illinois St
27,13174,41.91021,-87.6435,Larrabee St & North Ave
28,13282,41.91468,-87.64332,Larrabee St & Menomonee St
29,13290,41.90068,-87.6626,Noble St & Milwaukee Ave
30,13248,41.899643,-87.6677,Ashland Ave & Augusta Blvd
31,13017,41.896776,-87.635633,Franklin St & Chicago Ave
32,13076,41.87464,-87.65703,Racine Ave & Congress Pkwy
33,13003,41.877181,-87.627844,State St & Van Buren St
34,13124,41.9267559875,-87.6344287848,Cannon Dr & Fullerton Ave
35,13022,41.892278,-87.612043,Streeter Dr & Grand Ave
36,13019,41.8777079559,-87.6353211408,Franklin St & Jackson Blvd
37,13020,41.8793563587,-87.6297910363,Dearborn St & Adams St
38,15547,41.88602082773,-87.6308760584,Clark St & Lake St
39,15538,41.87947235235,-87.6256886059,Wabash Ave & Adams St
40,15537,41.87934437346,-87.6319852213,LaSalle St & Adams St
41,15543,41.87207763285,-87.6295437729,Federal St & Polk St
42,13170,41.852619,-87.626488,Wabash Ave & Cermak Rd
43,13001,41.8838927658,-87.6246491409,Michigan Ave & Washington St
44,13002,41.8847302006,-87.6277335692,State St & Randolph St
45,13040,41.876243,-87.624426,Michigan Ave & Congress Pkwy
46,13046,41.89993001,-87.63443007,Wells St & Walton St
47,13050,41.889187,-87.627754,State St & Kinzie St
48,13012,41.897764,-87.642884,Larrabee St & Kingsbury St
49,13049,41.881319815,-87.6295209193,Dearborn St & Monroe St
50,13009,41.8759326655,-87.6305845355,Clark St & Congress Pkwy
51,13005,41.884576228,-87.63188991,Clark St & Randolph St
52,13043,41.886024,-87.624117,Michigan Ave & Lake St
53,13064,41.894882,-87.632326,LaSalle (Wells) St & Huron St
54,13044,41.896362458,-87.6540612729,Ogden Ave & Chicago Ave
55,13166,41.867324,-87.648625,Halsted St & Roosevelt Rd
56,13039,41.888716036,-87.6444478533,Desplaines St & Kinzie St
57,13327,41.8671177825,-87.6410879593,Clinton St & Roosevelt Rd
58,13025,41.916017,-87.668879,Marshfield Ave & Cortland St
59,13031,41.867227,-87.625961,Wabash Ave & Roosevelt Rd
60,13058,41.9105780349,-87.6494219288,Dayton St & North Ave
61,13221,41.907655,-87.672552,Wood St & Milwaukee Ave
62,13106,41.8513751729,-87.6188346489,McCormick Place
66,13021,41.885637,-87.641823,Clinton St & Lake St
67,13060,41.9256018819,-87.6537080423,Sheffield Ave & Fullerton Ave
68,13037,41.875885,-87.640795,Clinton St & Tilden St
69,13065,41.9093960065,-87.6776919292,Damen Ave & Pierce Ave
71,13072,41.8854833079,-87.6523048564,Morgan St & Lake St
72,13148,41.860384,-87.625813,Wabash Ave & 16th St
73,13038,41.880422,-87.642746,Jefferson St & Monroe St
74,13265,41.893882,-87.641711,Kingsbury St & Erie St
75,13138,41.877245,-87.639366,Canal St & Jackson Blvd
76,13300,41.880958,-87.616743,Lake Shore Dr & Monroe St
77,13301,41.882242,-87.641066,Clinton St & Madison St
80,13156,41.880419,-87.655519,Aberdeen St & Monroe St
81,13023,41.884241,-87.629634,Daley Center Plaza
84,13033,41.891578,-87.648384,Milwaukee Ave & Grand Ave
85,13042,41.90096039,-87.62377664,Michigan Ave & Oak St
86,13289,41.89637337,-87.66098386,Eckhart Park
87,13189,41.92556258,-87.65840426,Racine Ave & Fullerton Ave
88,13155,41.884069,-87.656853,Racine Ave & Randolph St
89,15540,41.87500913494,-87.6331058189,Financial Pl & Congress Pkwy
90,13008,41.8810317,-87.62408432,Millennium Park
91,13010,41.88338,-87.64117,Clinton St & Washington Blvd
92,13196,41.894556,-87.653449,Carpenter St & Huron St
93,13190,41.913688,-87.652855,Sheffield Ave & Willow St
94,13146,41.918306,-87.636282,Clark St & Armitage Ave
95,15490,41.77870057128,-87.5867876179,Stony Island Ave & 64th St
96,15535,41.88461618962,-87.6445705849,Desplaines St & Randolph St
97,13029,41.865312,-87.617867,Field Museum
98,13006,41.882664,-87.63253,LaSalle St & Washington St
99,13337,41.89257,-87.614492,Lake Shore Dr & Ohio St
100,13013,41.888243,-87.63639,Orleans St & Merchandise Mart Plaza
101,15491,41.78101637196,-87.5761197602,63rd St Beach
102,15492,41.77345849948,-87.5853397391,Stony Island Ave & 67th St
103,15542,41.87146651779,-87.6409491327,Clinton St & Polk St (*)
106,13014,41.897448,-87.628722,State St & Pearson St
107,15539,41.878287,-87.643909,Desplaines St & Jackson Blvd
108,13027,41.87184,-87.64664,Halsted St & Polk St
109,13028,41.874754,-87.649807,900 W Harrison St
110,13045,41.893992,-87.629318,Dearborn St & Erie St
111,13052,41.894666,-87.638437,Sedgwick St & Huron St
112,13053,41.883668,-87.64867,Green St & Randolph St
113,13059,41.91844,-87.65222,Bissell St & Armitage Ave
114,13062,41.949399,-87.654529,Sheffield Ave & Waveland Ave
115,13067,41.936266,-87.652662,Sheffield Ave & Wellington Ave
116,13068,41.91552,-87.687022,Western Ave & Winnebago Ave
117,13069,41.94018,-87.65304,Wilton Ave & Belmont Ave
118,13070,41.911386,-87.638677,Sedgwick St & North Ave
119,13073,41.88541,-87.66732,Ashland Ave & Lake St
120,13075,41.853605,-87.631886,Wentworth Ave & Archer Ave
121,13398,41.802562,-87.590368,Blackstone Ave & Hyde Park Blvd
122,13081,41.87501,-87.67328,Ogden Ave & Congress Pkwy
123,13084,41.922695,-87.697153,California Ave & Milwaukee Ave
124,13089,41.855048,-87.675726,Damen Ave & Cullerton St
125,15533,41.890173,-87.626185,Rush St & Hubbard St
126,13128,41.911974,-87.631942,Clark St & North Ave
127,13131,41.925905,-87.64926,Lincoln Ave & Fullerton Ave
128,13132,41.895769,-87.67722,Damen Ave & Chicago Ave
129,13135,41.857556,-87.661535,Blue Island Ave & 18th St
130,13136,41.903266,-87.678435,Damen Ave & Division St
131,13140,41.939365,-87.668385,Lincoln Ave & Belmont Ave
132,13149,41.849237,-87.631715,Wentworth Ave & 24th St
133,15532,41.88917683258,-87.6385057718,Kingsbury St & Kinzie St
134,13158,41.877749,-87.649633,Peoria St & Jackson Blvd
135,13162,41.85378,-87.64665,Halsted St & 21st St
136,13165,41.865054,-87.656959,Racine Ave & 13th St
137,13169,41.862378,-87.651062,Morgan Ave & 14th Pl
138,13171,41.904613,-87.640552,Clybourn Ave & Division St
140,13173,41.898969,-87.629912,Dearborn Pkwy & Delaware Pl
141,13179,41.915689,-87.6346,Clark St & Lincoln Ave
142,15531,41.894503,-87.617854,McClurg Ct & Erie St
143,13191,41.922167,-87.638888,Sedgwick St & Webster Ave
144,13193,41.921822,-87.64414,Larrabee St & Webster Ave
145,15529,41.8985866514,-87.6219152258,Mies van der Rohe Way & Chestnut St
146,13206,41.877945,-87.662007,Loomis St & Jackson Blvd
147,13212,41.845687,-87.622481,Indiana Ave & 26th St
148,13216,41.834734,-87.625813,State St & 33rd St
149,13217,41.8349,-87.61793,Calumet Ave & 33rd St
150,13220,41.838556,-87.608218,Fort Dearborn Dr & 31st St
152,13226,41.932225,-87.658617,Lincoln Ave & Diversey Pkwy
153,13228,41.935733,-87.663576,Southport Ave & Wellington Ave
154,13229,41.93949,-87.66378,Southport Ave & Belmont Ave
156,13232,41.9364968219,-87.6475386582,Clark St & Wellington Ave
157,13234,41.936669,-87.636794,Lake Shore Dr & Wellington Ave
158,13243,41.912616,-87.681391,Milwaukee Ave & Wabansia Ave
159,13245,41.907781,-87.685854,Claremont Ave & Hirsch St
160,13257,41.910535,-87.689556,Campbell Ave & North Ave
161,15530,41.89576474564,-87.6259080327,Rush St & Superior St
162,13268,41.93588,-87.67842,Damen Ave & Wellington Ave
163,13271,41.931931,-87.677856,Damen Ave & Clybourn Ave
164,13272,41.885837,-87.6355,Franklin St & Lake St
165,13275,41.95078,-87.659172,Clark St & Grace St
166,13296,41.92883,-87.668507,Ashland Ave & Wrightwood Ave
167,13306,41.8492,-87.67564,Damen Ave & Coulter St
168,13310,41.864059,-87.623727,Michigan Ave & 14th St
169,13326,41.874255,-87.639573,Canal St & Harrison St
170,13329,41.85795,-87.640826,Clinton St & 18th St
171,13331,41.855136,-87.654127,May St & Cullerton St
172,15525,41.90230870122,-87.627690528,Rush St & Cedar St
173,13338,41.89691,-87.621743,Mies van der Rohe Way & Chicago Ave
174,13341,41.882091,-87.639833,Canal St & Madison St
175,13344,41.872596,-87.633502,Wells St & Polk St
176,13349,41.902973,-87.63128,Clark St & Elm St
177,13350 ,41.926277,-87.630834,Theater on the Lake
178,13408,41.856594,-87.627542,State St & 19th St
179,13420,41.82256,-87.61615,MLK Jr Dr & Oakwood Blvd
180,15523,41.906866,-87.626217,Ritchie Ct & Banks St
181,13430,41.890762,-87.631697,LaSalle St & Illinois St
182,15522,41.903222,-87.634324,Wells St & Elm St
183,13142,41.899113,-87.677212,Damen Ave & Augusta Blvd
184,13082,41.83104,-87.62688,State St & 35th St
185,13266,41.917741,-87.691392,Stave St & Armitage Ave
186,13194,41.891795,-87.658751,Ogden Ave & Race Ave
188,13295,41.92533,-87.6658,Greenview Ave & Fullerton Ave
190,13298,41.928773,-87.663913,Southport Ave & Wrightwood Ave
191,13056,41.880884,-87.639525,Canal St & Monroe St (*)
192,13011,41.879255,-87.639904,Canal St & Adams St
193,13213,41.841707,-87.626938,State St & 29th St
194,13339,41.886875,-87.62603,Wabash Ave & Wacker Pl
195,13263,41.884728,-87.619521,Columbus Dr & Randolph St
196,13427,41.890573,-87.622072,Cityfront Plaza Dr & Pioneer Ct
197,13036,41.882134,-87.625125,Michigan Ave & Madison St
198,13159,41.881892,-87.648789,Green St & Madison St
199,13004,41.891466,-87.626761,Wabash Ave & Grand Ave
200,13090,41.809851,-87.616279,MLK Jr Dr & 47th St
201,13083,41.82168,-87.6216,Indiana Ave & 40th St
202,13099,41.857499,-87.646277,Halsted St & 18th St
203,13091,41.854109,-87.685838,Western Ave & 21st St
204,13101,41.794853,-87.618691,Prairie Ave & Garfield Blvd
205,13088,41.857901,-87.668745,Paulina St & 18th St
206,13098,41.847203,-87.646795,Halsted St & Archer Ave
207,13399,41.84358,-87.645368,Emerald Ave & 28th St
208,13307,41.85381,-87.665897,Ashland Ave & 21st St
209,13308,41.849527,-87.640591,Normal Ave & Archer Ave
210,13061,41.90345,-87.667747,Ashland Ave & Division St
211,13016,41.894448,-87.622663,St. Clair St & Erie St
212,13264,41.892154,-87.636928,Orleans St & Ohio St
213,13244,41.910153,-87.68229,Leavitt St & North Ave
214,13141,41.89122,-87.67686,Damen Ave & Grand Ave
215,13134,41.88137,-87.67493,Damen Ave & Madison St
216,13256,41.903029,-87.697474,California Ave & Division St
217,13197,41.886926,-87.656919,Racine Ave (May St) & Fulton St
218,13180,41.856802,-87.633879,Wells St & 19th St
219,13133,41.916027,-87.677411,Damen Ave & Cortland St
220,13123,41.93262,-87.642385,Hampden Ct & Diversey Pkwy
222,13242,41.920195,-87.693033,Milwaukee Ave & Rockwell St
223,13185,41.918216,-87.656936,Clifton Ave & Armitage Ave
224,13181,41.913778,-87.64884,Halsted St & Willow St
225,13192,41.919936,-87.64883,Halsted St & Dickens Ave
226,13230,41.939743,-87.658865,Racine Ave & Belmont Ave
227,13235,41.94815,-87.66394,Southport Ave & Waveland Ave
228,13143,41.9406,-87.6785,Damen Ave & Melrose Ave
229,13071,41.943739,-87.66402,Southport Ave & Roscoe St
230,13078,41.94334,-87.67097,Lincoln Ave & Roscoe St
231,13130,41.96167,-87.65464,Sheridan Rd & Montrose Ave
232,13273,41.949275,-87.646303,Pine Grove Ave & Waveland Ave
233,13409,41.883004,-87.651148,Sangamon St & Washington Blvd (*)
234,13316,41.961588,-87.666036,Clark St & Montrose Ave
236,13410,41.905664,-87.638517,Sedgwick St & Schiller St
237,13214,41.842052,-87.617,MLK Jr Dr & 29th St
238,13092,41.961615,-87.674365,Ravenswood Ave & Montrose Ave (*)
239,13112,41.966555,-87.688487,Western Ave & Leland Ave
240,13063,41.954245,-87.654406,Sheridan Rd & Irving Park Rd
241,13168,41.871737,-87.65103,Morgan St & Polk St
242,13093,41.967094,-87.679028,Damen Ave & Leland Ave
243,13126,41.962391,-87.684146,Lincoln Ave & Leavitt St
244,13087,41.95469,-87.67393,Ravenswood Ave & Irving Park Rd
245,13389,41.961004,-87.649603,Clarendon Ave & Junior Ter
246,13249,41.956061,-87.668869,Ashland Ave & Belle Plaine Ave
247,13361,41.795212,-87.580715,Shore Dr & 55th St
248,13362,41.795264,-87.596471,Woodlawn Ave & 55th St
249,13388,41.963982,-87.638181,Montrose Harbor
250,13269,41.936083,-87.669807,Ashland Ave & Wellington Ave
251,13385,41.967968,-87.650001,Clarendon Ave & Leland Ave
252,13396,41.809835,-87.599383,Greenwood Ave & 47th St
253,13104,41.968812,-87.657659,Clifton Ave & Lawrence Ave
254,13324,41.954383,-87.648043,Pine Grove Ave & Irving Park Rd
255,13309,41.867888,-87.623041,Indiana Ave & Roosevelt Rd
256,13323,41.952833,-87.649993,Broadway & Sheridan Rd
257,13253,41.948797,-87.675278,Lincoln Ave & Waveland Ave
258,13145,41.930584,-87.685126,Logan Blvd & Elston Ave
259,13259,41.918121,-87.696972,California Ave & Francis Pl
260,13085,41.929567,-87.707857,Kedzie Ave & Milwaukee Ave
261,13080,41.871514,-87.669886,Hermitage Ave & Polk St
262,13414,41.827059,-87.64572,Halsted St & 37th St
263,13215,41.836208,-87.613533,Rhodes Ave & 32nd St
264,13048,41.886835,-87.62232,Stetson Ave & South Water St
265,13346,41.822985,-87.6071,Cottage Grove Ave & Oakwood Blvd
267,13117,41.809443,-87.591875,Lake Park Ave & 47th St
268,13328,41.911722,-87.626804,Lake Shore Dr & North Blvd
270,15498,41.7586696704,-87.586882871,Stony Island Ave & 75th St
271,13086,41.816499,-87.606582,Cottage Grove Ave & 43rd St
272,13219,41.838842,-87.621857,Indiana Ave & 31st St
273,13150,41.857813,-87.62455,Michigan Ave & 18th St
274,13304,41.861267,-87.656625,Racine Ave & 15th St
275,13354,41.865234,-87.666507,Ashland Ave & 13th St
276,13258,41.91044,-87.6972,California Ave & North Ave
277,13434,41.891072,-87.666611,Ashland Ave & Grand Ave
278,13417,41.830629,-87.64129,Wallace St & 35th St
279,13413,41.830661,-87.647172,Halsted St & 35th St (*)
280,13097,41.8378,-87.65114,Morgan St & 31st St
281,13393,41.84847,-87.685109,Western Ave & 24th St
282,13161,41.864883,-87.647071,Halsted St & Maxwell St
283,13032,41.87817,-87.631985,LaSalle St & Jackson Blvd
284,13340,41.87785,-87.62408,Michigan Ave & Jackson Blvd
285,13432,41.889587,-87.671956,Wood St & Hubbard St
286,13007,41.878724,-87.634793,Franklin St & Quincy St
287,13057,41.880317,-87.635185,Franklin St & Monroe St
288,13184,41.918084,-87.643749,Larrabee St & Armitage Ave
289,13182,41.912133,-87.634656,Wells St & Concord Ln
290,13292,41.921525,-87.707322,Kedzie Ave & Palmer Ct
291,13302,41.906724,-87.63483,Wells St & Evergreen Ave
292,13317,41.957081,-87.664199,Southport Ave & Clark St
293,13074,41.965221,-87.658139,Broadway & Wilson Ave
294,13109,41.978353,-87.659753,Broadway & Berwyn Ave
295,13108,41.973815,-87.65966,Broadway & Argyle St
296,13277,41.940106,-87.645451,Broadway & Belmont Ave
297,13250,41.961507,-87.671387,Paulina St & Montrose Ave
298,13252,41.955927,-87.679259,Lincoln Ave & Belle Plaine Ave
299,13127,41.94367,-87.64895,Halsted St & Roscoe St
300,13137,41.937725,-87.644095,Broadway & Barry Ave
301,13200,41.907993,-87.631501,Clark St & Schiller St
302,13211,41.928712,-87.653833,Sheffield Ave & Wrightwood Ave
303,13278,41.945529,-87.646439,Broadway & Cornelia Ave
304,13325,41.949074,-87.648636,Broadway & Waveland Ave
305,13241,41.902893,-87.687275,Western Ave & Division St
306,13374,41.958494,-87.654966,Sheridan Rd & Buena Ave
307,13186,41.920771,-87.663712,Southport Ave & Clybourn Ave
308,13144,41.943403,-87.679618,Seeley Ave & Roscoe St
309,13286,41.917805,-87.682437,Leavitt St & Armitage Ave
310,13288,41.920082,-87.677855,Damen Ave & Charleston St
311,13237,41.968885,-87.684001,Leavitt St & Lawrence Ave
312,13379,41.957879,-87.649519,Clarendon Ave & Gordon Ter
313,13147,41.925858,-87.638973,Lakeview Ave & Fullerton Pkwy
314,13251,41.957921,-87.673567,Ravenswood Ave & Berteau Ave
